23
1170 460 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
1810 440 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
2280 440 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
2760 440 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
3050 320 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
4900 460 80 25 kupka 5 -55 150 2 0 1 0.45 0 1 0.45 0 1000 1.25 1 bobekatt 5 5 -500 0 400 1 1
4530 340 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
5240 120 80 25 kupka 5 -55 150 2 0 1 0.45 0 1 0.45 0 1000 1.25 1 bobekatt 5 5 -500 0 400 1 1
5430 420 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
4720 80 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
4110 120 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
3610 100 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
3330 120 80 25 kupka 5 -55 150 2 0 1 0.45 0 1 0.45 0 1000 1.25 1 bobekatt 5 5 -500 0 400 1 1
3150 100 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
2270 160 80 25 kupka 5 -55 150 2 0 1 0.45 0 1 0.45 0 1000 1.25 1 bobekatt 5 5 -500 0 400 1 1
2640 140 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
1800 160 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
1730 160 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
1120 200 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
1210 200 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
650 120 80 25 kupka 5 -55 150 2 0 1 0.45 0 1 0.45 0 1000 1.25 1 bobekatt 5 5 -500 0 400 1 1
650 40 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1000 1.75 1 bobekatt 5 5 -420 0 300 1 1
340 80 40 40 rura 50 0 0 0 0 1000 2 3 bobekatt 5 5 0 500 600 1 1
