44
930 150 40 40 rura 15 0 0 0 0 1200 2 3 bobekatt 15 5 0 500 600 1 1
1450 280 40 40 rura 15 0 0 0 0 1200 2 3 bobekatt 15 5 0 500 600 1 1
560 470 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1200 1.75 1 bobekatt 5 5 -420 0 300 1 1
910 320 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
1160 460 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
1310 470 80 25 kupkafury 6 -85 150 2 0 1 0.35 0 1 0.35 0 750 1.10 2 bobekatt 5 5 -550 0 350 2 1
1630 280 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
1650 420 80 25 kupkafury 6 -85 150 2 0 1 0.35 0 1 0.35 0 750 1.10 2 bobekatt 5 5 -550 0 350 2 1
1400 120 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
1500 130 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1200 1.75 1 bobekatt 5 5 -420 0 300 1 1
1280 130 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
2120 370 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1200 1.75 1 bobekatt 5 5 -420 0 300 1 1
2290 370 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
2210 380 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
910 70 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
2080 140 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
2240 150 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
1910 140 40 40 rura 15 0 0 0 0 1200 2 3 bobekatt 15 5 0 500 600 1 1
2770 470 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
4990 460 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
5150 480 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
5520 460 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1200 1.75 1 bobekatt 5 5 -420 0 300 1 1
5800 430 80 25 kupkafury 6 -85 150 2 0 1 0.35 0 1 0.35 0 750 1.10 2 bobekatt 5 5 -550 0 350 2 1
5900 430 80 25 kupka 4 -55 150 2 0 1 0.45 0 1 0.45 0 1200 1.25 1 bobekatt 5 5 -500 0 400 1 1
5830 300 35 35 bobekfury 8 -55 150 2 0 1 0.35 0 1 0.35 0 700 1.65 2 bobekatt 5 5 -450 0 300 2 1
5910 310 35 35 bobek 5 -55 150 2 0 1 0.35 0 1 0.35 0 1200 1.75 1 bobekatt 5 5 -420 0 300 1 1
