40
0 0 1280 720 tlolvl1 0 0 0
1280 0 1280 720 tlolvl1 0 0 0
0 540 500 40 platform1 0 1 0
500 540 500 40 platform1 0 1 0
420 220 15 40 torch 1 0 2 0.1 0 0
420 260 15 40 torch 1 0 2 0.1 0 0
420 300 15 40 torch 1 0 2 0.1 0 0
420 340 15 40 torch 1 0 2 0.1 0 0
420 180 15 40 torch 1 0 2 0.1 0 0
440 180 15 40 torch 1 0 2 0.1 0 0
460 180 15 40 torch 1 0 2 0.1 0 0
440 260 15 40 torch 1 0 2 0.1 0 0
460 260 15 40 torch 1 0 2 0.1 0 0
440 340 15 40 torch 1 0 2 0.1 0 0
460 340 15 40 torch 1 0 2 0.1 0 0
510 340 15 40 torch 1 0 2 0.1 0 0
510 300 15 40 torch 1 0 2 0.1 0 0
510 260 15 40 torch 1 0 2 0.1 0 0
510 220 15 40 torch 1 0 2 0.1 0 0
510 180 15 40 torch 1 0 2 0.1 0 0
530 220 15 40 torch 1 0 2 0.1 0 0
550 260 15 40 torch 1 0 2 0.1 0 0
570 300 15 40 torch 1 0 2 0.1 0 0
590 340 15 40 torch 1 0 2 0.1 0 0
590 300 15 40 torch 1 0 2 0.1 0 0
590 260 15 40 torch 1 0 2 0.1 0 0
590 220 15 40 torch 1 0 2 0.1 0 0
590 180 15 40 torch 1 0 2 0.1 0 0
640 180 15 40 torch 1 0 2 0.1 0 0
640 220 15 40 torch 1 0 2 0.1 0 0
640 260 15 40 torch 1 0 2 0.1 0 0
640 300 15 40 torch 1 0 2 0.1 0 0
640 340 15 40 torch 1 0 2 0.1 0 0
660 180 15 40 torch 1 0 2 0.1 0 0
680 180 15 40 torch 1 0 2 0.1 0 0
700 260 15 40 torch 1 0 2 0.1 0 0
700 220 15 40 torch 1 0 2 0.1 0 0
700 300 15 40 torch 1 0 2 0.1 0 0
680 340 15 40 torch 1 0 2 0.1 0 0
660 340 15 40 torch 1 0 2 0.1 0 0
